Account Number,Card Number,Open to Buy,Credit Limit,Transaction Amount,Transaction Time,Transaction Date,Transaction Type,Currency Code,Merchant Category Code,Merchant Number,Transaction Country,Transaction City,Approval Code,Fraud Label
5098897544,1.92155E+15,14553.57353,170882.9531,4411.237818,23:28:58,10/30/2024,Online Payment,INR,5956,S7AAJSM3EMLC,IN,Kolkata,3W06YY,Not Fraud
3490875013,6.7973E+15,48117.33923,175737.3308,768.1922136,16:33:28,1/5/2024,Cash Withdrawal,INR,4958,VZGDZ39XY503,IN,Bangalore,MCS3NA,Not Fraud
3559820538,8.57648E+15,26050.49266,141859.5553,6155.0151,21:28:49,6/26/2023,Refund,INR,5947,015LLXDNO8U1,IN,Pune,HYQOFO,Not Fraud
2387984826,3.66405E+15,98882.90458,53340.533,3386.428959,11:15:00,7/31/2024,Purchase,INR,4831,W05DW2SUS6ES,IN,Delhi,YACA66,Not Fraud
4712343412,7.79231E+15,89026.8574,87440.72241,4706.508589,3:21:09,11/21/2023,Online Payment,INR,5947,ZCYEU4Z2SW8Y,IN,Chennai,BT9TX6,Not Fraud
795203125,1.03541E+15,52290.10629,138744.4274,5523.057241,8:13:24,8/6/2023,Cash Withdrawal,INR,4582,I5DY8RHNUUJR,IN,Bangalore,OXQLF6,Not Fraud
2134807459,4.10905E+15,86407.11398,145091.7063,4541.404614,3:28:46,1/8/2024,Refund,INR,4168,1G01G1P4H58I,IN,Pune,U3XXLS,Not Fraud
984313302,1.18141E+14,55089.35866,79280.29996,4183.285261,6:48:34,5/10/2023,Refund,INR,5844,GJ7IV38LM0ZS,IN,Kolkata,CWB3EB,Not Fraud
6625048508,2.87115E+15,45884.86813,171887.3027,2591.013234,12:11:40,4/11/2023,Online Payment,INR,5077,X540R3T5WKTP,IN,Chennai,NKHPIZ,Not Fraud
8472381844,2.22017E+15,86721.60883,51586.50913,7618.238301,3:33:33,5/20/2024,Online Payment,INR,5670,8HSKG2PPY6V2,IN,Pune,B0O0MG,Not Fraud
8507670502,4.25166E+15,62340.41254,50707.73588,9876.982758,7:27:21,9/17/2023,Cash Withdrawal,INR,5411,FYBB29MXII1U,IN,Pune,LBTQNL,Not Fraud
621219705,9.07914E+15,68765.79496,153936.7337,4900.325306,9:04:00,1/29/2023,Online Payment,INR,5353,VJIMAW9A9NOJ,IN,Hyderabad,A4UWCZ,Not Fraud
7125493442,9.7311E+15,81545.05706,181088.3886,5103.272043,12:08:38,12/31/2024,Cash Withdrawal,INR,5862,KXD0BKK02C1K,IN,Pune,ANH1JQ,Not Fraud
9877699662,4.19368E+15,41486.17445,153208.0284,7051.540551,16:09:14,1/23/2024,Refund,INR,4324,034KO36FFDW2,IN,Ahmedabad,JFFHT9,Not Fraud
7566104240,7.14421E+15,49911.32885,108344.8682,4830.861153,12:13:43,3/10/2024,Purchase,INR,5592,OTL6O6E4EUS5,IN,Pune,7J3BJT,Not Fraud
4879864199,4.51031E+15,76607.56131,137999.8858,9021.259557,6:17:38,1/18/2024,Purchase,INR,5119,7EVLYPBF3XPX,IN,Hyderabad,6FFGYF,Not Fraud
6962209388,3.0144E+15,73328.89807,58640.07983,661.559395,0:25:56,6/26/2023,Cash Withdrawal,INR,5355,5F9RTVJ292FR,IN,Bangalore,7S3PJ3,Not Fraud
5761245917,3.99721E+15,29362.6901,197367.4706,3853.547772,15:58:34,6/22/2024,Purchase,INR,5440,0V8JSN1S6WJO,IN,Chennai,UCLGXP,Not Fraud
4138595480,4.59478E+15,59465.40438,144108.9627,2717.343135,5:39:24,10/2/2024,Refund,INR,5461,7YAAJ7AL7UEB,IN,Hyderabad,ICKH6G,Not Fraud
516270736,9.57047E+15,12724.9898,101104.0778,5424.213842,11:04:33,7/11/2024,Online Payment,INR,5587,5UKPZHD3Z83X,IN,Chennai,WXJFTK,Fraud
5313571847,1.04365E+15,91093.80972,143148.8136,6972.817132,4:42:07,6/27/2023,Purchase,INR,4548,3VC2GBY7F7WF,IN,Ahmedabad,DP4G1N,Not Fraud
6161373421,4.08687E+15,89940.26826,143682.6037,5465.050965,17:12:58,1/14/2024,Online Payment,INR,5069,X1QGSYRFDDTK,IN,Bangalore,3AL73R,Not Fraud
4776800967,3.79769E+15,76037.28959,94282.62363,8473.699642,6:02:41,2/9/2023,Cash Withdrawal,INR,5424,9QL641WL32I4,IN,Chennai,QC5AV9,Not Fraud
4132792538,4.29966E+15,67086.30039,100588.1694,5245.613232,18:29:38,9/8/2024,Purchase,INR,4162,UOE2N76PPY1E,IN,Kolkata,4Y6QTW,Not Fraud
3569578173,4.79914E+15,54989.068,63413.13494,5403.434946,7:15:03,2/4/2024,Refund,INR,4705,1NKKBZIOAH4X,IN,Chennai,21KPUN,Not Fraud
3944762422,1.3648E+15,22438.22101,76483.85883,1672.68525,7:52:26,9/14/2024,Cash Withdrawal,INR,4439,VPWTR3V2VXTM,IN,Ahmedabad,T5K7AB,Not Fraud
4841333239,5.83537E+15,36929.31744,71529.30878,2881.346192,4:56:26,8/15/2023,Cash Withdrawal,INR,5806,1BWPBTSWO367,IN,Kolkata,F07QLC,Not Fraud
1844400732,9.23278E+15,73984.39892,90240.16614,5458.744851,2:50:29,9/21/2024,Purchase,INR,5719,3DHCNK4V0SJX,IN,Delhi,H2KJUB,Not Fraud
8848042020,6.84975E+15,96117.18581,52506.40467,3190.707107,10:32:06,2/1/2024,Cash Withdrawal,INR,4866,NLKQ9VIKD13T,IN,Delhi,L8X8U0,Not Fraud
6449993522,1.76314E+15,15529.39172,123745.1572,5048.356954,22:17:28,1/14/2024,Cash Withdrawal,INR,5583,JOH3X51KPUAT,IN,Mumbai,QCJK13,Not Fraud
6325757307,5.28118E+15,27764.90023,109525.1788,3246.430144,11:45:12,7/15/2024,Cash Withdrawal,INR,5373,SDTI7Z9MW3I4,IN,Pune,5EN9IA,Not Fraud
6686767117,3.20873E+15,71125.87254,140805.6023,1734.084701,4:06:57,6/21/2024,Purchase,INR,4347,X1GQJJA42ZVZ,IN,Chennai,3XC111,Not Fraud
7155632207,5.70016E+15,69422.0054,64066.85074,9636.356237,17:10:04,11/15/2024,Purchase,INR,5879,FBULVX8199KV,IN,Bangalore,AUQ985,Not Fraud
9646349202,1.80338E+15,53850.20596,171298.4864,8469.748202,9:58:16,2/22/2024,Online Payment,INR,4453,ULI519L6997O,IN,Mumbai,D4TA1J,Not Fraud
8533204894,4.25693E+14,39612.807,156022.9564,2820.100987,1:29:45,4/20/2023,Cash Withdrawal,INR,5594,EL9D8HBC7T0U,IN,Mumbai,PEZGT7,Not Fraud
2937231683,8.3501E+15,18696.86605,57684.17628,7632.069907,4:07:31,1/1/2023,Cash Withdrawal,INR,5107,AW967D1R8F6J,IN,Delhi,ID08LA,Not Fraud
3085673621,9.89122E+15,42602.22448,69852.84054,8315.681585,10:20:09,7/21/2024,Refund,INR,4161,CUG1QPTZPNS3,IN,Delhi,H0BE2U,Fraud
2122948335,8.74175E+15,96538.01627,111159.013,5180.440299,4:57:36,4/25/2023,Refund,INR,5344,JLKS2ROT1FDN,IN,Delhi,4DMW3T,Not Fraud
9842712718,5.91637E+15,95842.3219,67141.90712,9940.697228,10:56:17,7/8/2023,Refund,INR,4216,ILCACLSWIBVJ,IN,Bangalore,TUASFA,Not Fraud
7519142715,9.57412E+15,46597.48946,84100.06019,2968.921342,13:29:17,12/3/2024,Online Payment,INR,4469,PGPD4OU8O39Z,IN,Pune,9DD0SL,Not Fraud
6073214297,2.38123E+15,94478.63744,113371.8559,6333.629292,0:59:24,10/29/2024,Online Payment,INR,5894,7OXV6ARB6BL7,IN,Hyderabad,MNWYCC,Not Fraud
287557618,1.95198E+15,80758.1441,121357.7952,9642.404542,14:30:25,11/1/2024,Refund,INR,5733,MBZB9LZYJ4SV,IN,Hyderabad,DO8QLC,Not Fraud
2508886480,3.41311E+15,16059.2405,76004.14594,6689.385546,17:39:21,2/6/2023,Online Payment,INR,4479,UWYZRWJ190OA,IN,Pune,FAPESW,Not Fraud
8511872998,2.39497E+15,39343.16328,145844.176,5939.015803,0:36:22,9/12/2024,Online Payment,INR,5819,JD6QQ3HF0IEF,IN,Chennai,0J0AOZ,Not Fraud
5558883846,3.67383E+15,98139.20091,132694.7851,1576.167222,12:34:06,11/15/2023,Online Payment,INR,4406,8NSNED1HSRKC,IN,Ahmedabad,E0ZR9Q,Not Fraud
807747539,3.35279E+15,12913.84894,82667.29744,2909.116757,4:35:57,1/26/2024,Online Payment,INR,4854,GYSIKYUCZDCO,IN,Mumbai,KPN1LV,Not Fraud
1547444444,4.36558E+15,52902.13637,183549.1508,1223.755332,19:14:31,7/25/2024,Online Payment,INR,4977,2S6AUVAS39N9,IN,Mumbai,T8M0QG,Not Fraud
3260508810,6.16642E+15,92314.67264,115260.1083,6518.920392,20:24:54,4/11/2024,Cash Withdrawal,INR,4249,KNPQ3PVTSW7N,IN,Bangalore,CUMDJK,Not Fraud
479841955,9.41938E+15,13434.70705,140039.732,3543.518327,8:46:14,3/17/2023,Refund,INR,5074,TUPOZW27CRI3,IN,Mumbai,GWQ83A,Not Fraud
4523626637,6.28689E+15,98570.62689,144120.2398,4247.219809,0:37:53,12/26/2024,Refund,INR,4756,BMBKHBCSMJRS,IN,Mumbai,42H2Y9,Not Fraud
429554798,9.47682E+15,33156.07378,172442.7298,5856.684427,13:02:49,8/16/2023,Purchase,INR,5587,QN08JBCOJ2KX,IN,Ahmedabad,GONA99,Not Fraud
1037918892,8.47871E+15,34240.84513,108547.2514,9883.028139,16:20:37,3/22/2024,Cash Withdrawal,INR,5942,BU19N284OOV8,IN,Pune,QZ9BJ0,Not Fraud
5183110773,9.0464E+15,91840.34107,57049.19597,9425.219454,18:11:41,2/24/2023,Cash Withdrawal,INR,4335,AWR1KGINHCA1,IN,Mumbai,S4AADS,Not Fraud
5013122931,7.74601E+15,55304.44839,159094.6376,1747.089714,12:44:00,9/22/2024,Refund,INR,5820,06OSYVI6GMN4,IN,Kolkata,E21RTX,Not Fraud
459817897,8.20445E+15,53327.7738,184429.8883,8995.264738,8:19:26,1/4/2024,Cash Withdrawal,INR,5024,NY2S0307AO42,IN,Delhi,SF3IQ8,Not Fraud
1356520157,2.61317E+15,92564.33428,191224.1739,9586.065369,15:07:01,4/4/2024,Purchase,INR,5338,544PR6385MBZ,IN,Mumbai,LX71L4,Not Fraud
5590689299,5.38966E+15,43419.87387,155233.4481,7119.990719,20:31:13,5/29/2023,Online Payment,INR,4965,33YHEE8KSJOD,IN,Kolkata,KSZWNN,Not Fraud
4476473258,1.37255E+14,14818.65233,166443.8531,8059.991874,18:21:42,3/14/2023,Refund,INR,5642,CVQWJ74HX61D,IN,Delhi,Z86ISW,Not Fraud
9152483985,9.13102E+14,97236.23899,160693.1964,6781.2103,22:55:03,5/25/2024,Refund,INR,5941,5TCJMOPS3W54,IN,Kolkata,Z9ZKPW,Not Fraud
609708774,4.70758E+15,15746.95849,128656.9058,8031.570125,8:03:46,9/7/2023,Online Payment,INR,5680,QPAA6JCJB9R7,IN,Pune,NZAZ5Z,Not Fraud
4858564423,3.18379E+15,78659.03608,112984.7769,3852.706397,3:18:48,1/28/2023,Refund,INR,4278,DKRZROPFA44N,IN,Hyderabad,8O3I7J,Not Fraud
580991919,9.7634E+15,17584.72138,144897.4879,6912.544701,8:27:54,6/29/2023,Purchase,INR,5730,JQQ2JXQ8OHSH,IN,Mumbai,41NOR8,Not Fraud
1027583374,5.74133E+15,61012.48016,172698.9489,5912.555743,8:59:25,12/16/2024,Online Payment,INR,4881,NLAXN5K3FERE,IN,Pune,XWLYPV,Not Fraud
6562921702,5.75934E+15,36938.02194,81724.2858,4240.175477,0:44:27,2/14/2023,Online Payment,INR,5615,S6M5DMV2IEJS,IN,Mumbai,P1YK74,Not Fraud
5671215090,9.08443E+15,98361.92248,118964.4264,9035.241975,2:27:04,9/11/2024,Refund,INR,4456,QOXDJI07U8JL,IN,Ahmedabad,MR5MVM,Not Fraud
7113054078,4.99052E+14,67617.44054,138826.684,6132.44679,6:28:07,5/16/2024,Purchase,INR,5110,0J7AMM8ATFYM,IN,Delhi,C9ODRK,Not Fraud
957835565,9.1413E+15,94756.00523,180969.2517,1499.761994,2:27:27,4/27/2023,Cash Withdrawal,INR,4519,0VRD8NXIYGQN,IN,Kolkata,C22MIG,Not Fraud
9230993615,9.78215E+15,18241.39425,178831.1963,5845.710805,5:26:36,10/5/2023,Online Payment,INR,4470,6CACOH07Y7K5,IN,Ahmedabad,G6X4NU,Not Fraud
8058680696,7.41026E+15,13711.38997,178075.0947,8770.356761,14:06:02,2/8/2024,Refund,INR,5273,QFLF1TXTGWMO,IN,Delhi,YM9KX3,Not Fraud
2418908706,6.14768E+15,81560.42197,155269.8684,4186.925048,6:55:53,6/26/2024,Refund,INR,4514,TLVWDDJVDMVH,IN,Chennai,CK5K0O,Not Fraud
6862236780,8.06919E+15,90563.65074,105368.3712,1452.606859,11:51:20,4/20/2023,Refund,INR,5083,6352XN6GNWK4,IN,Pune,XRZ1D1,Not Fraud
1768673274,4.57761E+15,13479.95982,62676.84019,6397.810271,13:08:27,5/24/2023,Refund,INR,5206,8KZPIXX2LHTM,IN,Hyderabad,IK3G2C,Not Fraud
7060294059,6.46973E+15,42207.12934,78744.44129,9578.415544,10:25:47,11/5/2023,Refund,INR,5622,RZSEYH9C4JI7,IN,Bangalore,FIMOIK,Not Fraud
2864496751,1.23522E+15,41517.49145,151173.8846,8731.980373,14:58:36,12/7/2023,Online Payment,INR,5223,NZ8GUWZL6CBL,IN,Kolkata,55HTM7,Not Fraud
6030727685,8.38217E+14,86629.95593,108514.4423,6306.215633,9:30:32,2/14/2024,Refund,INR,5580,71QUY9LSS4ZU,IN,Kolkata,U16JA3,Fraud
235856822,4.84298E+15,88263.74997,137687.0606,8108.420405,7:24:04,10/26/2024,Refund,INR,5558,E5UGF49UTN73,IN,Chennai,7Q3QG7,Not Fraud
3760891260,6.90301E+15,38582.79694,124158.5867,4599.106994,20:44:38,10/9/2024,Refund,INR,4328,JKU20E2AUTSZ,IN,Pune,BMSCKY,Not Fraud
1031121658,3.04112E+15,89165.23633,82729.55826,6632.15888,20:38:15,11/21/2023,Purchase,INR,5283,IVUNUVG478KK,IN,Kolkata,01U8V2,Not Fraud
3259051217,6.41162E+15,83879.93616,94508.20718,7172.134645,1:22:16,1/23/2024,Purchase,INR,4180,37X0100X6T3M,IN,Pune,UFCGBS,Not Fraud
9892480686,4.86826E+15,31757.66486,136247.0998,3161.45789,20:31:31,5/12/2023,Refund,INR,5887,SJBQK1ZMD5JC,IN,Chennai,L96Y42,Not Fraud
2192059578,9.46997E+14,19911.31251,73347.78726,2379.744797,14:01:00,2/6/2024,Cash Withdrawal,INR,4750,70XXW17VTOKI,IN,Hyderabad,IYVHZL,Fraud
7959378008,8.20398E+15,22043.06392,131645.268,4287.537612,6:08:04,1/30/2023,Online Payment,INR,5983,V6QQI9QF5J4Z,IN,Mumbai,B8T3B3,Not Fraud
6785615770,1.2946E+15,73309.81246,55286.14211,6175.268511,3:30:53,2/13/2024,Online Payment,INR,4243,939AMSQ7874U,IN,Mumbai,NSWGN2,Not Fraud
8879265942,3.09417E+15,84085.66386,79445.89305,2278.732835,4:35:34,6/12/2024,Cash Withdrawal,INR,5426,A8AYIRKU9U6W,IN,Kolkata,2HBEUE,Fraud
8946416788,8.47505E+15,71095.33439,108299.0003,8261.562738,8:08:53,10/17/2023,Refund,INR,5980,2RIL7I7HR7TB,IN,Hyderabad,E5KLG5,Not Fraud
2831942734,1.41666E+15,11596.87782,53317.19402,8459.370711,12:39:07,9/18/2023,Cash Withdrawal,INR,4167,MYUS056E94H5,IN,Mumbai,UJPJQW,Not Fraud
5224613762,1.72747E+15,27463.65762,84852.42989,8264.752335,23:59:35,8/4/2024,Purchase,INR,4484,IYQ5M8WX1YJ9,IN,Bangalore,73V6W5,Not Fraud
8775336769,5.31463E+15,45233.15352,182177.601,8476.206117,15:58:59,3/18/2024,Cash Withdrawal,INR,5025,ORQNMSCGHB9Z,IN,Chennai,3PXTH5,Not Fraud
2269489516,7.86382E+15,98565.87981,102923.2077,6828.777807,22:09:53,1/6/2024,Cash Withdrawal,INR,4219,K040KAK3L6FI,IN,Chennai,36J0HD,Not Fraud
5223258707,8.78732E+15,76798.37585,177104.1731,1410.383762,17:03:30,6/18/2024,Online Payment,INR,5690,7WYCJJUBLBWI,IN,Chennai,5N5Y8G,Not Fraud
4772914821,3.55081E+15,29458.12127,191584.9664,5374.002041,14:45:15,5/19/2023,Purchase,INR,4698,OHJANMYF802A,IN,Pune,LADXO3,Not Fraud
8837724414,2.3357E+13,51453.72283,110678.9379,7191.592796,16:04:18,11/29/2024,Cash Withdrawal,INR,5519,35ZCQPMVZX6W,IN,Bangalore,VUYBY2,Not Fraud
8177985943,3.39843E+15,32619.54479,77431.50478,4371.97361,11:11:19,12/12/2023,Online Payment,INR,4029,4Z2K6F3O9MDP,IN,Pune,XDNAOD,Not Fraud
2218828542,5.55868E+15,89779.60154,149368.224,3473.037359,1:11:31,11/18/2023,Cash Withdrawal,INR,4174,TKD7D6QE2799,IN,Mumbai,0L1LZO,Not Fraud
9660705064,2.9858E+15,97866.32466,166017.4832,4338.476679,5:54:26,4/11/2024,Cash Withdrawal,INR,5577,QNKTYSIJ1WOZ,IN,Kolkata,1IG7F3,Not Fraud
9806365766,7.87127E+15,37873.16054,56409.0559,1112.992059,17:03:24,8/5/2024,Purchase,INR,4173,ENSUM10Z01IG,IN,Chennai,XEU3RB,Not Fraud
2853669938,4.98528E+15,11619.23042,113087.4275,946.9932745,3:49:20,5/5/2024,Refund,INR,4744,WLS614G9UJZO,IN,Delhi,DPNX8T,Not Fraud
8648381830,8.47093E+14,18230.5431,59810.27473,6822.303706,13:27:35,10/26/2023,Cash Withdrawal,INR,4988,FVAIWKOPOK19,IN,Ahmedabad,C79D66,Not Fraud
3846714102,9.9044E+15,25108.82379,165707.6795,7746.205399,8:03:16,8/15/2023,Cash Withdrawal,INR,4233,AG8J1SZPMTHA,IN,Delhi,OOZJE4,Not Fraud
9534516296,7.67164E+15,23220.50864,65138.63351,4900.237496,9:03:12,7/3/2024,Cash Withdrawal,INR,5725,ABPE79TS2MJP,IN,Bangalore,5ZUSWE,Not Fraud
2137556166,1.58352E+15,44912.3761,108284.3409,4264.294593,11:59:59,9/2/2024,Cash Withdrawal,INR,5450,32JGO23P2RS4,IN,Chennai,ZVPT50,Not Fraud
795380025,8.08454E+15,25371.07012,110542.3088,6123.154675,3:04:22,9/4/2024,Purchase,INR,4664,9WPOQQNIQWEN,IN,Ahmedabad,12U5R2,Not Fraud
8348062989,9.53091E+15,62487.83436,83038.09603,1778.647025,20:07:20,6/15/2023,Refund,INR,4899,6Q6R1RHN0CS9,IN,Bangalore,JZ5XTL,Not Fraud
4523868421,5.54659E+15,81610.8323,168772.3193,9061.117264,3:52:57,6/24/2023,Cash Withdrawal,INR,4227,E8I1CCV4DLLV,IN,Mumbai,R3ABPC,Not Fraud
6893108016,6.47737E+15,57270.75451,158883.9424,7633.240014,21:26:31,12/26/2024,Purchase,INR,5199,YP6YMYPZZ7IF,IN,Ahmedabad,H977KD,Not Fraud
9842185305,9.72053E+15,96487.11521,143644.194,4845.281438,2:01:30,7/14/2024,Cash Withdrawal,INR,4753,2RY6PPHB2SUM,IN,Mumbai,QK9FIS,Not Fraud
140077469,6.67796E+15,95206.23087,179123.6272,5904.239572,23:19:01,8/15/2024,Refund,INR,4008,DUCURUU3R5NS,IN,Ahmedabad,01UF0Z,Not Fraud
1916304363,8.61253E+15,70783.41504,134683.2611,9323.579388,13:58:13,1/5/2024,Cash Withdrawal,INR,5838,5LBHG8ZG70BF,IN,Mumbai,Z20YUS,Not Fraud
3354801536,6.19983E+15,23783.11687,155701.6843,6624.044017,15:41:53,7/3/2024,Online Payment,INR,4292,1VE38D2Q3GVI,IN,Kolkata,GTK8RU,Not Fraud
4443142345,1.92573E+15,51238.39774,195311.5108,1372.00037,3:06:27,11/27/2024,Refund,INR,5700,LOBEL5UBPWUE,IN,Delhi,M4D60E,Not Fraud
7914681198,1.56856E+15,13307.56258,162353.5282,6785.090452,4:43:48,9/1/2024,Online Payment,INR,4489,SBCOMUP596S3,IN,Mumbai,AKY6O1,Not Fraud
4874250712,8.56276E+15,44310.07256,149133.1903,7677.590273,4:46:09,7/12/2024,Refund,INR,5389,5HAAWN7UC911,IN,Hyderabad,TAW6VL,Not Fraud
6194805729,8.85699E+15,94262.72894,108723.1661,6547.806529,3:28:20,8/23/2024,Purchase,INR,4596,GILBL7C42RN7,IN,Kolkata,II90A2,Not Fraud
5398227330,6.19429E+15,53609.7735,73115.63846,2798.913924,23:41:00,3/24/2023,Purchase,INR,4177,AEWOH9XDWLHZ,IN,Ahmedabad,MDF3QT,Not Fraud
5811141220,7.13178E+15,72758.18238,98555.04706,5883.675684,5:58:59,4/18/2023,Refund,INR,4711,LMTEN1SL05FZ,IN,Pune,X5N3FZ,Not Fraud
1602050063,6.69341E+15,26819.96982,56866.34518,962.1615256,5:09:54,5/5/2023,Online Payment,INR,4684,A84GBKVFIHRB,IN,Ahmedabad,FWY4LJ,Not Fraud
3575294180,4.94836E+15,43741.54202,102816.7355,7981.228329,18:26:40,3/14/2024,Cash Withdrawal,INR,5719,BX6E6TPVFLZD,IN,Kolkata,SG8WSZ,Not Fraud
9444786695,8.38199E+15,60782.32674,147591.1978,9391.425435,4:35:18,6/18/2023,Purchase,INR,4708,WZI4L3J9V29P,IN,Pune,9HKWB9,Not Fraud
675021697,2.60044E+15,69055.39309,180036.2008,8758.766726,1:31:23,5/19/2024,Cash Withdrawal,INR,5753,QL3EZZ51DP6K,IN,Delhi,CHZLSE,Not Fraud
7579745415,7.80603E+15,26909.95286,140156.8262,8497.927842,4:36:33,8/29/2023,Purchase,INR,4803,FO1WZKXQ2UOC,IN,Mumbai,EIHZC0,Not Fraud
8665901731,4.17795E+15,73023.53283,81396.38394,3047.991733,8:50:00,7/3/2024,Cash Withdrawal,INR,4774,52LD7FRSYH5Z,IN,Chennai,FI2NZI,Not Fraud
5198118334,1.08329E+15,90816.6108,188343.4294,3139.427262,4:14:01,2/15/2024,Purchase,INR,4236,WCNNU4DXF85R,IN,Hyderabad,IJ8W48,Not Fraud
2131565053,6.7962E+15,38348.06275,130823.0784,2997.205224,1:06:08,4/23/2024,Cash Withdrawal,INR,5682,IDJY99IUT970,IN,Pune,87KN1W,Not Fraud
1871856298,8.97756E+15,54570.9736,171658.6562,4512.157819,22:55:35,6/9/2024,Refund,INR,5688,37N4EH7O32DF,IN,Hyderabad,OVOQ4H,Not Fraud
1781018638,4.82493E+15,16118.63689,153838.7814,8384.444291,3:09:03,9/9/2023,Refund,INR,5478,HZ831NZIKG8M,IN,Chennai,0PX3CN,Not Fraud
4544937576,2.42827E+15,71424.72566,125292.6769,6711.214349,11:12:54,9/2/2023,Cash Withdrawal,INR,4186,RKY5J0COMU82,IN,Pune,3DP2CR,Not Fraud
6166371116,6.18157E+14,23739.2554,185256.2067,7842.817286,10:41:51,12/21/2024,Refund,INR,4008,TKP1N2ABOWE5,IN,Pune,UWRAZY,Not Fraud
2610339507,9.30423E+15,94898.44803,122113.7145,7538.510957,8:16:38,3/17/2023,Online Payment,INR,4058,QED2SNP570BI,IN,Hyderabad,6F8YGZ,Not Fraud
6268022546,2.04758E+14,49904.1734,70364.29968,3856.76169,6:40:15,2/11/2023,Purchase,INR,5150,FDL33DGS21H9,IN,Kolkata,R5JXKG,Not Fraud
5941547673,6.19565E+15,83126.44045,104455.2579,3750.012411,10:23:34,1/20/2024,Purchase,INR,4769,OWWK2W1YAJLJ,IN,Kolkata,5UQ6CK,Not Fraud
4796430087,3.25147E+15,92161.46554,67828.64961,2278.63041,15:15:30,4/23/2023,Online Payment,INR,4103,J7714ZBK8O3O,IN,Pune,HRE7TY,Not Fraud
5285491849,7.55862E+15,18957.56016,120243.4521,6759.885789,19:59:15,7/10/2024,Purchase,INR,5897,IG6WPDOSGB8V,IN,Pune,MVWXP7,Not Fraud
2129001723,4.29944E+15,50919.37096,170000.2666,5386.075661,5:10:12,7/29/2023,Purchase,INR,4427,CU1R7VHX30IJ,IN,Ahmedabad,3JYC0F,Not Fraud
8104112699,4.61944E+15,78602.06811,50430.65751,8851.416646,12:28:20,6/25/2023,Purchase,INR,5641,DJCM417LGYXJ,IN,Bangalore,L028Q7,Not Fraud
8104192355,7.87729E+15,32606.4407,132326.4424,4278.299466,19:39:41,5/28/2024,Online Payment,INR,4416,ONCJCPT2N6UV,IN,Pune,GRGHF3,Not Fraud
6273496110,9.50958E+15,87585.44564,71930.17322,5795.338395,0:04:37,1/10/2023,Refund,INR,4396,NHATAG13K4JS,IN,Hyderabad,P0L841,Not Fraud
